HAT_NO;HAT_ADI;GUZERGAH_ACIKLAMA;ACIKLAMA;HAT_BASLANGIC;HAT_BITIS
729;ATAKÖY - CUMAOVASI AKTARMA MERKEZİ;ÇAMÖNÜ-DEĞİRMENDERE-ÇİLEME;;ATAKÖY;CUMAOVASI AKT.
732;SEFERİHİSAR - URLA;ULAMIŞ-TURGUT-İHSANİYE - BADEMLER;;SEFERİHİSAR;URLA
733;YAĞCILAR - URLA;DEMİRCİLİ-KUŞÇULAR-CAMİ ATİK MAH.;;YAĞCILAR;URLA
734;ÖZBEK - URLA;ÖZBEK YOLU-AHMET BESİM UYSAL CAD.-ERDOĞAN KER CAD.;;ÖZBEK;URLA
737;KADIOVACIK - URLA;BARBAROS-BİRGİ-UZUNKUYU;;KADIOVACIK;URLA
738;ÇEŞMEALTI - URLA;YALI CAD.-MİTHATPAŞA CAD.-BİNEVLER;;ÇEŞMEALTI;URLA
741;YAMANLAR KÖYÜ - KARŞIYAKA;YENİ GİRNE - GİRNE;;YAMANLAR KÖYÜ;KARŞIYAKA İSKELE
742;SANCAKLI KÖYÜ - KARŞIYAKA;DOĞANÇAY - KUBİLAY CAD. - GİRNE;;SANCAKLI KÖYÜ;KARŞIYAKA İSKELE
743;TİRE - SELÇUK;Selçuk Cad. - Tire Yolu - Belevi;;TİRE;SELÇUK
744;FOÇA - HATUNDERE AKTARMA MERKEZİ;BAĞARASI;İLÇE PAZARININ OLDUĞU SALI GÜNLERİ  GİDİŞ  DEĞİRMENLİK CADDESİ , HACI LİMANI KÜME EVLERİ SOKAK - MEVCUT GÜZERGAHIN DEVAMI  DÖNÜŞ  MEVCUT GÜZERGAHI TAKİBEN , HACI LİMANI KÜME EVLERİ SOKAK , DEĞİRMENLİK CADDESİ ,1. SOKAK , DEĞİRMENLİK CADDESİ   Hizmet verecek  şekilde yeniden düzenlenmiştir. Hattımız Aktarma Merkezinden Kalkışlarda İZBAN Geliş saatlerine göre hareket ettiğinden planlanan hareket saatlerinde gecikmeler yaşanabilmektedir.;FOÇA;HATUNDERE AKT.
745;YENİ FOÇA - BİÇEROVA AKTARMA MERKEZİ;CUMHURİYET MAH.;Çarşamba günleri Pazar kurulması nedeniyle Oruç Reis, Doğan Çingil ve Osmangazi duraklarımız kullanım dışı kalmaktadır. Hattımız Aktarma Merkezinden Kalkışlarda İZBAN Geliş saatlerine göre hareket ettiğinden planlanan hareket saatlerinde gecikmeler yaşanabilmektedir.;YENİFOÇA;BİÇEROVA AKT.
746;ÇAKMAKLI - BİÇEROVA AKTARMA MERKEZİ;Sanayi yolu;;ÇAKMAKLI;BİÇEROVA AKTARMA MERKEZİ
747;EMİRALEM - MENEMEN AKTARMA MERKEZİ;KIR MAHALLE - MENEMEN DEVLET HASTANESİ;;EMİRALEM;MENEMEN AKTARMA MERKEZİ
748;ULUKENT AKTARMA MERKEZİ 1- MENEMEN AKTARMA MERKEZİ ;KOYUNDERE - ASARLIK - MENEMEN DEVLET HASTANESİ;;ULUKENT AKTARMA MERKEZİ;MENEMEN AKTARMA MERKEZİ
749;ULUKENT AKTARMA MERKEZİ 1 - MENEMEN AKTARMA MERKEZİ;ÇANAKKALE YOLU;;ULUKENT AKTARMA MERKEZİ;MENEMEN AKTARMA MERKEZİ
750;YENİ FOÇA - ULUKENT AKTARMA MERKEZİ 2;MALTEPE - SEYREK;;YENİ FOÇA;ULUKENT AKTARMA MERKEZİ
751;SASALI - ÇİĞLİ AKTARMA MERKEZİ;ESKİ HAVAALANI CAD.;Hafta içi günlerinde Çiğliden 06:44 Sasalı'dan 07:30 yapan araç ile Çiğliden 16:30 Sasalı'dan 17:15 yapan araçlar Tuzlaya uğrar. Akşam Çiğli'den 19:45 ve Sasalı'dan 19:40 servislerinden sonra Doğal Yaşam Parkına girmez.;SASALI;ÇİĞLİ AKT.
752;BURUNCUK - HATUNDERE AKTARMA MERKEZİ;TURKELLİ - HELVACI ? HATUNDERE;;BURUNCUK;HATUNDERE AKTARMA MERKEZİ
753;GÖKTEPE - MENEMEN AKTARMA MERKEZİ;EMİRALEM;;GÖKTEPE;MENEMEN AKTARMA MERKEZİ
754;BOZALAN - MENEMEN AKTARMA MERKEZİ;TELEKLER - SÜLEYMANLI ? EMİRALEM;;BOZALAN;MENEMEN AKTARMA MERKEZİ
755;SÜLEYMANLI - MENEMEN AKTARMA MERKEZİ;GÖRECE - BELEN - HAYKIRAN ? HASANLAR;;SÜLEYMANLI;MENEMEN AKTARMA MERKEZİ
756;KOZBEYLİ - MENEMEN AKTARMA ;YENIKÖY-GERENKÖY-MALTEPE;;KOZBEYLİ;MENEMEN AKTARMA
757;MALTEPE - ULUKENT AKTARMA MERKEZİ 2;SEYREK - VİLLAKENT;HAFTA İÇİ GÜNLERİ ULUKENT AKTARMA MERKEZİNDEN 08:20 SERVİSİ VİLLAKENT ANADOLU LİSESİNDE SON DURAK YAPAR. MALTEPE'DEN 16:05 VE 16:08 SERVİSLERİ VİLLAKENT ANADOLU LİSESİNDEN BAŞLAR.;MALTEPE;ULUKENT AKTARMA MERKEZİ
758;ÇUKURKÖY - MENEMEN AKTARMA MERKEZİ;BELEN- DOĞAKÖY- YANIKKÖY;;ÇUKURKÖY;MENEMEN AKTARMA MERKEZİ
759;KARAORMAN - MENEMEN AKTARMA MERKEZİ;ÇALTI ALANİÇİ-AYVACIK;;KARAORMAN;MENEMEN AKTARMA MERKEZİ
760;ÇEŞME-URLA;ILICA-UZUNKUYU-İÇMELER;;ÇEŞME;URLA
761;KARABURUN-URLA;MORDOĞAN-GÜLBAHÇE;"20.01.2022 tarih ve 2022/50 sayılı Ukome Kararınca Mordoğan, Atatürk Caddesinin Cumhuriyet Meydanı ile 124 Sokak arasında kalan kısmı gün içerisinde trafiğe kapatılacak olup kapalı olduğu sürece ""Mordoğan İskele"" durağımızdan hizmet verilemeyecektir. ";KARABURUN;URLA
762;GÜZELBAHÇE - URLA;YELKİ - DADAŞKENT;;GÜZELBAHÇE;URLA
763;DÜVERLİK - TORBALI;Çamlıca Mezarlık-Taştepe;;DÜVERLİK;TORBALI
766;ANSIZCA - KEMALPAŞA;KUYUCAK - DAMLACIK - ULUCAK;;ANSIZCA;KEMALPAŞA
767;HALİLBEYLİ - KEMALPAŞA;BAĞYURDU - ARMUTLU - ÖRNEKKÖY;;HALİLBEYLİ;KEMALPAŞA
768;VİŞNELİ - KEMALPAŞA;CUMALİ - GÖKYAKA - DEREKÖY;;VİŞNELİ;KEMALPAŞA
769;ÇAMBEL - KEMALPAŞA;AKALAN - SÜTÇÜLER - AŞAĞI YENMİŞ;;ÇAMBEL;KEMALPAŞA
770;SELÇUK - TORBALI AKTARMA MERKEZİ;ÇAYBAŞI - PAMUKYAZI - SAĞLIK;Pazar günleri Pazar kurulması nedeniyle hattımız Belevi Durağı'ndan dönüş yapmaktadır.;SELÇUK;TORBALI AKTARMA
772;BEŞPINAR - KEMALPAŞA;SÜTÇÜLER-TAŞLIYOL KÜME SK.-KİRAZLI CAD.-İZMİR CD.;;BEŞPINAR;KEMALPAŞA
774;TİRE TOPLU KONUTLAR - KAHRAT;GÖKÇEN - TİRE MEYDAN - İSTASYON;;TİRE TOPLU KONUTLAR;KAHRAT
775;ÖZDERE - CUMAOVASI AKTARMA MERKEZİ;ORTAMAHALLE - AHMETBEYLİ-MENDERES;;ÖZDERE;CUMAOVASI AKT.
776;DOĞANBEY - CUMAOVASI AKTARMA MERKEZİ;ÜRKMEZ-GÜMÜLDÜR;;DOĞANBEY;CUMAOVASI AKT.
777;DOĞAL YAŞAM PARKI - KARŞIYAKA;ATAKENT;;DOĞAL YAŞAM PARKI;KARŞIYAKA İSKELE
778;ÖZDERE - ÜRKMEZ;CUMHURİYET MAH.-ORTA MAH. - GÜMÜLDÜR;;ÖZDERE;ÜRKMEZ
780;BÜLBÜLDERE - TORBALI AKTARMA MERKEZİ;GÖLLÜCE-ATALAN;;BÜLBÜLDERE;TORBALI AKTARMA
781;TULUMKÖY - TORBALI AKTARMA MERKEZİ;NAİME-SUBAŞI-PAMUKYAZI;;TULUMKÖY;TORBALI AKTARMA
782;TAŞKESİK - TORBALI AKTARMA MERKEZİ;ASLANLAR - ŞEHİTLER-EĞERCİ;;TAŞKESİK;TORBALI AKTARMA
783;BELEVİ - TORBALI;SAĞLIK;;BELEVİ;TORBALI
784;DOĞANCILAR - TORBALI;DAĞKIZILCA-ÇAKIRBEYLİ-SAİPLER;;DOĞANCILAR;ÇAYBAŞI
785;DAĞTEKKE - TORBALI;HELVACI-ORMANKÖY-DİRMİL-KARAKUYU;;DAĞTEKKE;ÇAYBAŞI
786;KARAOT - TORBALI;KARAKIZLAR - DÜVERLİK - ÇAMLICA;;KARAOT;ÇAYBAŞI
787;OSMANLAR - BAYINDIR;ÇINARDİBİ - DERNEKLİ-KIZILCAOVA;;OSMANLAR;BAYINDIR
788;HAVUZBAŞI - BAYINDIR;ARIKBAŞI-ÇİFTÇİGEDİĞİ-KIZILCAOVA;;HAVUZBAŞI;BAYINDIR
789;EFEMÇUKURU - CUMAOVASI AKTARMA MERKEZİ;ÇATALCA-AKÇAKÖY;;EFEMÇUKURU;CUMAOVASI AKT.
790;HİSARLIK - BAYINDIR;DEREKÖY-ERGENLİ KÖYÜ-TURAN KÖYÜ;;HİSARLIK;BAYINDIR
791;ÇAMLIBEL - BAYINDIR;SÖĞÜTÖREN KÖYÜ-FURUNLU KÖY-ELİFLİ KÖYÜ;;ÇAMLIBEL;BAYINDIR
792;GÖLOVA - CUMAOVASI AKTARMA MERKEZİ;ÇAKALTEPE-KARAKUYU-ÇİLEME;;GÖLOVA;CUMAOVASI AKT.
793;BALCILAR - BAYINDIR;YAKAPINAR-CANLI-BAYINDIR YOLU;;BALCILAR;BAYINDIR
794;KÜNER - CUMAOVASI AKTARMA MERKEZİ;KAYMAKAMLIK - MENDERES PAZAR YERİ;;KÜNER;CUMAOVASI AKTARMA MERKEZİ
795;ÖDEMİŞ-TORBALI;BAYINDIR-CANLI-ARIKBAŞI;;ÖDEMİŞ;ÇAYBAŞI
796;BEYDAĞ-ÖDEMİŞ;ÇAYLI-KAYMAKÇI-YOLÜSTÜ;;BEYDAĞ;ÖDEMİŞ
798;TİRE-TORBALI AKTARMA MERKEZİ;YENİÇİFTLİK-SUBAŞI-ÇAYBAŞI;"Hafta içi günlerde; Tire'den 08:30, 11:45 ve 14:45 servisleri, Torbalı'dan 09:15, 13:20 ve 16:05 servisleri Tire Organize Sanayi Bölgesine uğrar.";TİRE;TORBALI AKTARMA
799;ÇATALCA - CUMAOVASI AKTARMA;AKÇAKÖY - MENDERES BELEDİYESİ;;ÇATALCA;CUMAOVASI AKTARMA
800;MENEMEN AKTARMA - BORNOVA METRO;ANADOLU CD. - ANKARA CD. YANYOL - EGE ÜNİ.;;MENEMEN AKTARMA;BORNOVA METRO
801;KİRAZ - BEYDAĞ;Kiraz Devlet Hastanesi-Atatürk Bulvarı-Beydağ Terminal;Hattımız İztaşıt Tarafından işletilmektedir.;KİRAZ;BEYDAĞ
803;KİRAZ - ÖDEMİŞ;Kiraz Terminal-Kaymakçı-Ödemiş Devlet Hastanesi;Hattımız İztaşıt Tarafından işletilmektedir.;KİRAZ;ÖDEMİŞ
804;DEREKÖY - CUMAOVASI AKTARMA MERKEZI;MENDERES BELEDİYESİ - MENDERES PAZARYERİ;;DEREKÖY;CUMAOVASI AKT.
805;ÇAMLIKULE - ŞİRİNYER AKTARMA MERKEZİ;ÇAMLIPINAR - ÜÇKUYULAR MEYDAN - MENDERES CAD.;;ÇAMLIKULE;ŞİRİNYER AKT.
806;KİRAZ - OTOGAR;Kiraz Terminal-Kaymakçı-Optimum Alışveriş Merkezi;Hattımız İztaşıt Tarafından işletilmektedir. ESHOT otogar son durağını kullanmaktadır.;KİRAZ;OTOGAR
808;CUMAOVASI AKTARMA MERKEZİ - ESBAŞ AKTARMA MERKEZİ;GÖRECE;;CUMAOVASI AKT.;ESBAŞ AKT
810;ATATÜRK MAHALLESİ - EGEKENT AKTARMA MERKEZİ;EVKA 5;Olumsuz hava koşullarında Doğan, Gezer, Zirve ve İzkent Son Durak durakları kullanılmayacaktır.;ATATÜRK MAH.;EGEKENT AKT.
811;ENGELLİLER MERKEZİ - MONTRÖ;MİTHATPAŞA CAD.-İNÖNÜ CAD.-MUSTAFA KEMAL SAHİL BULV.;;ENGELLİLER MERKEZİ;MONTRÖ
814;MENDERES - CUMAOVASI AKTARMA MERKEZİ;GAZİPAŞA MAHALLESİ;;MENDERES;CUMAOVASI AKT.
816;ÇİĞLİ BÖLGE EĞİTİM HASTANESİ - EGEKENT AKTARMA MERKEZİ;ÇİĞLİ BÖLGE EĞİTİM HASTANESİ-EGEKENT MAH.-İZKENT MAH.-ESENTEPE MAH.;Olumsuz hava koşullarında Doğan, Gezer, Zirve ve İzkent Son Durak durakları kullanılmayacaktır.;ÇİĞLİ BÖLGE EĞİTİM HASTANESİ;EGEKENT AKTARMA MERKEZİ
817;EGEKENT AKTARMA MERKEZİ - ÇİĞLİ AKTARMA MERKEZİ;KATİP ÇELEBİ ÜNİVERSİTESİ - BALATÇIK MAH. - ÇİĞLİ BÖLGE EĞİTİM HASTANESİ;Eğitim Öğretimin uygulandığı Hafta içi günlerinde Egekent Aktarma Merkezi ve Çiğli Aktarma Merkezinden 07:30 - 09:00 ve 14:40 - 16:00 saatleri arasında Tekel Ortaokuluna uğrar. ;EGEKENT AKT.;ÇİĞLİ AKT.
818;ESBAŞ AKTARMA MERKEZİ - ŞİRİNYER AKTARMA MERKEZİ;BEYAZEVLER-GAZETECİ YAZAR İSMAİL SİVRİ BULV.-FORBES;;ESBAŞ AKT;ŞİRİNYER AKT.
820;HARMANDALI - BOSTANLI İSKELE;Cumhuriyet Mah. - Uğur Mumcu Mah. - Çiğli - Atakent;;HARMANDALI;BOSTANLI İSKELE
821;MAVİŞEHİR AKTARMA MERKEZİ - BOSTANLI İSKELE;MAVİŞEHİR MAH.-ATAKENT MAH.-HASAN ALİ YÜCEL BUV.;;MAVİŞEHİR AKT.;BOSTANLI İSKELE
823;ÜÇYOL - GAZİEMİR SEMT GARAJI;BOZYAKA EĞT.ARŞ.HAST.-ESKİİZMİR CAD.-ÇEVRE YOLU;;ÜÇYOL METRO;GAZİEMİR SEMT GARAJI
826;GAZİ MAHALLESI - ULUKENT AKTARMA MERKEZİ 1;EGEKENT 2 İSTASYON;;GAZİ MAHALLESI;ULUKENT AKTARMA MERKEZİ
827;ULUKENT AKTARMA MERKEZİ - BOSTANLI İSKELE;ULUKENT KOP. - ÇİĞLİ - ATAKENT;;ULUKENT AKT.;BOSTANLI İSKELE
828;SARNIÇ - YENİ ÇAMLIK;GAZİEMİR- AKÇAY CAD.- SERBEST BÖLGE;;SARNIÇ;YENİ ÇAMLIK
829;ÜRKMEZ-CUMAOVASI AKTARMA;KUYUCAK - YENİKÖY - DEREKÖY;;ÜRKMEZ;CUMAOVASI AKTARMA
831;DEMİRCİDERE - BERGAMA;KAPLAN - AYVATLAR - YUKARIBEY;İlçe Pazarının Olduğu Çarşamba Günü Gidiş- Mevcut Güzergahı Takiben, Adnan Menderes Bulvarı, Kavşaktan Dönüş, Adnan Menderes Bulvarı, Fabrika Caddesi, Bergama Yeni Sondurak Dönüş- Bergama Yeni Sondurak, Fabrika Caddesi, Adnan Menderes Bulvarı, Mevcut Güzergahı Devamı Hizmet Verecek Şekilde Yeniden Düzenlenmiştir. 03.02.2025 tarihinden itibaren Saat 15:40 servisi Aşağıbey Okul durağından başlayacak olup Aşağıcuma Okul durağına da hizmet verecektir.;DEMİRCİDERE;BERGAMA
