HAT_NO;HAT_ADI;GUZERGAH_ACIKLAMA;ACIKLAMA;HAT_BASLANGIC;HAT_BITIS
850;TUZÇULLU -SEYREK - ULUKENT AKTARMA MERKEZİ 2;GÜNERLİ ? SEYREK ? BAKIRÇAY ÜNİVERSİTESİ ;;TUZCULLU;ULUKENT AKTARMA MERKEZİ
853;EGEKENT AKTARMA MERKEZİ - KARŞIYAKA İSKELE;ÇİĞLİ - KARŞIYAKA DEVLET HASTANESİ - GİRNE;;EGEKENT AKT.;KARŞIYAKA İSKELE
858;BAYINDIR - İZMİR OTOGAR;ÇIRPI-HASKÖY-YENİ ÇİFTLİK;;BAYINDIR;İZMİR OTOGAR
865;KIZILKEÇİLİ - BAYINDIR;LÜTUFLAR-ZEYTİNOVA;;KIZILKEÇİLİ;BAYINDIR
866;BUCA TOPLU KONUTLARI - ŞİRİNYER AKTARMA MERKEZİ;İL JANDARMA K.-ADATEPE - FORBES;;BUCA TOPLU KONUTLARI;ŞİRİNYER AKT.
868;MENEMEN PLASTİK İHTİSAS ORGANİZE SANAYİ - ATATÜRK MAHALLESİ - MENEMEN AKTARMA MERKEZİ;MENEMEN PLASTİK OSB-ATATÜRK MAH.;;ORGANİZE SANAYİ;MENEMEN AKTARMA MERKEZİ
871;İŞÇİEVLERİ - ŞİRİNYER AKTARMA MERKEZİ;FEVZİ ÇAKMAK CAD.-MENDERES CAD.;;İŞÇİEVLERİ;ŞİRİNYER AKT.
872;HACI SİNAN - İSTASYON;TOKİ-ÜÇOLUK MEYDANI;Hattımız Pazar kurulması nedeniyle Cuma günleri hizmet veremeyecektir.Ayrıca hattımız ring hat olup, İstasyon'dan saat uygulaması yoktur.;HACISİNAN;İSTASYON
873;YENİTEPE EVLERİ - FAHRETTİN ALTAY AKTARMA;YURTOĞLU- UZUNDERE REK. ALANI - ÇEVRE YOLU;;YENİTEPE EVLERİ;FAHRETTİN ALTAY AKT.
874;İZKENT - ŞİRİNYER AKTARMA MERKEZİ;YAVUZ SULTAN SELİM CAD.-MENDERES CAD.;;İZKENT;ŞİRİNYER AKT.
875;EVKA 1 - ŞİRİNYER AKTARMA MERKEZİ;GAZİOSMANPAŞA CAD.-MENDERES CAD.;;EVKA-1;ŞİRİNYER AKT.
876;ŞİRİNKAPI - ŞİRİNYER AKTARMA MERKEZİ;İESOB EML-MENDERES CAD.;;ŞİRİNKAPI;ŞİRİNYER AKT.
877;UZUNDERE TOPLU KONUTLARI - GAZİEMİR SEMT GARAJI;CENNETÇEŞME-ESKİ İZMİR CAD.-ÇEVRE YOLU;;UZUNDERE TOPLU KONUTLARI;GAZİEMİR SEMT GARAJI
878;TINAZTEPE - ŞİRİNYER AKTARMA MERKEZİ;DOKUZ ÇEŞMELER - SEYFİ DEMİRSOY HASTANESİ - FORBES;SAAT 22:00'DEN SONRA TINAZTEPE YERLEŞKESİ İÇERİSİNE HİZMET VERMEYECEKTİR;TINAZTEPE;ŞİRİNYER AKT.
879;F.ALTAY - GAZİEMİR SEMT GARAJI;POLAT CAD.- DOSTLUK BULV.-AKTEPE;;F.ALTAY;GAZİEMİR SEMT GARAJI
881;HACI SİNAN - İSTASYON;TOKİ-HÜKÜMET KONAĞI-MENDERES BULVARI;Hattımız pazar kurulması nedeniyle sadece Cuma günleri hizmet verecektir.Ayrıca hattımız ring hat olup, İstasyon'dan saat uygulaması yoktur.;HACISİNAN;İSTASYON
882;İYTE - URLA;İçmeler;;İ.Y.T.E;URLA
883;İYTE - F.ALTAY AKT. MER. EKSPRES;EKSPRES HAT;;İYTE;F.ALTAY AKT.
887;SARNIÇ AKTARMA MERKEZİ - KONAK;AKÇAY CAD. - YEŞİLLİK CAD. - ÜÇYOL;;SARNIÇ AKT.;KONAK
889;SARNIÇ - SARNIÇ AKTARMA MERKEZİ;SARNIÇ MEYDAN-BELEDİYE GARAJI-PİKNİK ALANI;;SARNIÇ;SARNIÇ AKT.
891;EVKA 7 - GAZİEMİR SEMT GARAJI;ÖNDER CAD.-AKÇAY CAD.-SERBEST BÖLGE;;EVKA-7;GAZİEMİR SEMT GARAJI
906;ÇEŞME - URLA;GERMİYAN - REİSDERE;;ÇEŞME;URLA
909;ZEYTİNALANI - F. ALTAY AKTARMA MERKEZİ;NARLIDERE-9 EYLÜL HASTANESİ;;ZEYTİNALANI;F. ALTAY AKTARMA MERKEZİ
910;GAZİEMİR - KONAK;KARABAĞLAR-ÜÇYOL-VARYANT;;GAZİEMİR;KONAK
912;EGEKENT AKTARMA MERKEZİ - ALSANCAK GAR;ANADOLU CAD.-ALTINYOL;;EGEKENT AKTARMA;ALSANCAK GAR
920;ÇİĞLİ - KONAK;ANADOLUCAD.-SERİNKUYU-GİRNE-ALTINYOL;;ÇİĞLİ MERKEZ;KONAK
930;BORNOVA - KONAK;Manavkuyu-Adliye-Alsancak;;BORNOVA;KONAK
936;KINIK - ALİAĞA AKTARMA MERKEZİ;Dündarlı - Yayakent - Bergama;;KINIK;ALİAĞA
940;BUCA - KONAK;BUCA DEVL. HASTANESI.-MENDERES CD.-EŞREFPAŞA-VARYANT-İKİÇEŞMELİK;;BUCA;KONAK
945;ESENTEPE - ÜÇKUYULAR İSKELE;MEHMETÇİK BULV.;;ESENTEPE;ÜÇKUYULAR İSKELE
949;ÇAMBEL - EVKA 3 METRO;ÇAMBEL TOPLU KONUTLAR - ANKARA CADDESİ;;ÇAMBEL;EVKA 3 METRO
950;NARLIDERE - KONAK;ATA CAD.-F.ALTAY-INÖNÜ CAD.;;NARLIDERE;KONAK
951;HALKAPINAR METRO2-KONAK;ALSANCAK GAR - LOZAN MEYDANI - KAHRAMANLAR;;HALKAPINAR METRO2;KONAK
961;İÇMELER - URLA;Urla Devlet Hast. - Torosan;;İÇMELER;URLA
963;EVKA 3 METRO - ALSANCAK GAR;BORNOVA MERKEZ - MANAVKUYU;;EVKA 3 METRO;ALSANCAK GAR
966;ULUCAK - EVKA3 METRO;Türkan Özilhan Dev. Hast.- 4. Sanayi - Adil Demir Sitesi;;ULUCAK;EVKA3 METRO
967;ARMUTLU - KEMALPAŞA;AŞAĞIKIZILCA-YUKARI KIZILCA-ÖRNEKKÖY;;ARMUTLU;KEMALPAŞA
969;BALÇOVA - F.ALTAY AKTARMA MERKEZİ;EKONOMİ ÜNİVERSİTESİ-ATA CAD.;;BALÇOVA;F.ALTAY AKT.
971;NARBEL - F.ALTAY AKTARMA MERKEZİ;2. İNÖNÜ MAH.-9 EYLÜL HASTANESİ-MİTHATPAŞA CAD.;;NARBEL;F.ALTAY AKT.
975;SEFERİHİSAR - F.ALTAY AKTARMA;NARLIDERE-9 EYLÜL HASTANESİ;Hattımız İztaşıt Tarafından İşletilmektedir.;SEFERİHSAR;F.ALTAY AKTARMA
976;MORDOĞAN - KARABURUN;EĞLENHOCA - İNECİK - KÖSEDERE;;MORDOĞAN;KARABURUN
977;İZMİR DEMOKRASİ ÜNİVERSİTESİ - ÜÇKUYULAR İSKELE;F.ALTAY-ÇEVRE YOLU-UZUNDERE KAVŞAĞI;;DEMOKRASİ ÜNİVERSİTESİ;ÜÇKUYULAR İSKELE
978;PARLAK-URLA;KÜÇÜKBAHÇE-GÜLBAHÇE-BALIKLIOVA;;PARLAK;URLA
979;ÖMÜR BELDESİ - SEFERİHİSAR;KOCAÇAY CD.-KUŞADASI CD.;;ÖMÜR BELDESİ;SEFERİHİSAR
981;BALIKLIOVA - F.ALTAY AKTARMA MERKEZİ;KARAPINAR-NARLIDERE-9 EYLÜL HASTANESİ;;BALIKLIOVA;F.ALTAY AKT.
982;İYTE - F.ALTAY AKTARMA MERKEZİ;İÇMELER-NARLIDERE;;İ.Y.T.E.;F.ALTAY AKT.
983;BADEMLER - F.ALTAY AKTARMA MERKEZİ;ÇAMLI - YELKİ - NARLIDERE;;BADEMLER;F.ALTAY AKT.
984;URLA - F.ALTAY AKTARMA MERKEZİ;URLA DEVLET HASTANESİ-URLA İSKELE-KALABAK-ZEYTINALANI;;URLA;F.ALTAY AKT.
985;SEFERİHİSAR - F.ALTAY AKTARMA MERKEZİ;ULAMIŞ-NARLIDERE-9 EYLÜL HASTANESİ ;Hattımız İztaşıt Tarafından işletilmektedir;SEFERİHİSAR;F.ALTAY AKTARMA
986;ÜRKMEZ - SEFERİHİSAR;GÜMÜLDÜR - CUMHURİYET MAHALLESİ;Hattımız İztaşıt Tarafından İşletilmektedir;ÜRKMEZ;SEFERİHİSAR
987;ÜRKMEZ - F. ALTAY AKTARMA MERKEZİ;GÜMÜLDÜR-SEFERİHİSAR-NARLIDERE-9 EYLÜL HASTANESİ;Hattımız İztaşıt Tarafından İşletilmektedir;ÜRKMEZ;F. ALTAY AKTARMA MERKEZİ
988;KEMALPAŞA - EVKA3 METRO;BELKAHVE - TÜRKAN ÖZİLHAN DEVLET HASTANESİ - 4. SANAYİ;MİLLİ EĞİTİM BAKANLIĞI'NA BAĞLI İLKÖĞRETİM VE ORTAÖĞRETİM KURUMLARINDA YAZ TATİLİNİN BAŞLAMASI SEBEBİYLE HATTIMIZ PAKMAYA ÜLKÜ HİZAL ANADOLU LISESINE HİZMET VERMEYECEKTİR.;KEMALPAŞA;EVKA3 METRO
989;ORHANLI - SEFERİHİSAR;YENİKÖY-PAYAMLI-ÖMÜR BELDESİ-DOĞANBEY KÖYÜ;;ORHANLI;SEFERİHİSAR
990;BEYLER - SEFERİHİSAR;KAVAKDERE -HIDIRLIK - TURABİYE;;BEYLER;SEFERİHİSAR
991;ÇAMTEPE - SEFERİHİSAR;GÖDENCE - GÖLCÜK - ULAMIŞ;;ÇAMTEPE;SEFERİHİSAR
