DURAK_ID;DURAK_ADI;ENLEM;BOYLAM;DURAKTAN_GECEN_HATLAR
10199;Adnan Saygun Sanat Merkezi;38.399787;27.077479;5-6-7-17-24-25-202-480-486-510-650-671-690-873-977
10207;Çileme Akar;38.15131272720120;27.17930006371580;729-792
10208;Çileme Akar;38.15113748330560;27.17936315302790;729-792
10209;Çileme Manav;38.153665986441;27.17950608385660;729-792
10210;İzmir Mesleki ve Teknik Anadolu Lisesi;38.42707830045040;27.13585676186480;202
10211;Çankaya;38.423520;27.137560;691-811-940-950
10212;Çileme Manav;38.15390574211940;27.17959108800890;729-792
10213;Çankaya;38.4235;27.1375;680-681
10214;Çileme Sera;38.157386;27.179847;729-792
10215;Çankaya;38.4232;27.1375;470-910-950
10216;Çileme Sera;38.15751552021920;27.17979668927490;729-792
10217;Çileme Ekin;38.16745582516850;27.17976825040790;729-792
10218;Çileme Ekin;38.16727457521330;27.17990816232410;729-792
10219;Tekeli Çiftlik;38.17252185900860;27.17905633507540;729-792
10220;Tekeli Çiftlik;38.172141362802;27.17908224728460;729-792
10221;Tekeli Efe;38.17392861114680;27.18291139593950;729-792
10222;Tekeli Efe;38.17380410035960;27.18276334686510;729-792
10223;Tekeli Yörük;38.176267862992;27.18343623586350;729-792
10224;Mezarlıkbaşı;38.4207;27.1372;234-470-680-681-691-910-940-950
10225;Mezarlıkbaşı;38.4210;27.1371;18-19-20-811
10226;Kestelli;38.415294;27.134829;234-470-680-681-691-910-940-950
10227;Mezarlıkbaşı;38.420898;27.136995;470-681-691-910-940-950
10228;Koruluk;38.412691;27.131779;234-470-680-681-691-910-940-950
10229;Mezarlıkbaşı;38.420604622397;27.13694633177680;23-234-680
10230;Tekeli Yörük;38.17593410781020;27.18349127564340;729-792
10231;Kestelli;38.4156;27.1348;18-19-20-23-27-72-104-105-171-234-285-374-465-470-471-484-485-680-681-691-811-910-940-950
10232;Dumlupınar;38.183725657335;27.18615990557120;701-729-792
10233;Koruluk;38.4125;27.1313;18-19-20-27-681-811
10234;Tekeli İstasyon;38.18165251454370;27.18512008055470;701-729-792
10235;Koruluk;38.4123;27.1309;23-72-104-105-171-234-285-374-465-470-471-484-485-680-691-910-940-950
10236;Tekeli Esinti;38.18625117060260;27.18329639564440;729-792
10240;Kız Yurdu;38.413220;27.127212;15-18-19-20-21-23-27-29-30-32-33-72-104-105-152-157-171-193-224-233-285-374-465-471-484-485-508-550-587-588-887
10241;Kız Yurdu;38.412928;27.127281;15-29-30-32-33-152-157-193-224-233-508-550-587-588-887
10242;Etnografya Müzesi;38.4146;27.1289;18-19-20-21-23-27
10243;Tekeli Esinti;38.18637692658520;27.183560442632;729-792
10244;Tekeli Tarım;38.188609191805;27.18006936628330;729-792
10245;Tekeli Tarım;38.18854253886150;27.180259325616;729-792
10246;Bayramyeri;38.4085;27.1267;15-18-19-20-21-152-508-550-587-588-681-887-910-950
10247;Bayramyeri;38.4088;27.1267;15-18-19-20-27-152-157-508-550-587-588-681-811-887-910-950
10248;Altıntaş;38.4070;27.1240;15-18-19-20-21-152-508-550-587-588-681-887-910-950
10251;Altıntaş;38.4073;27.1241;15-18-19-20-27-152-157-508-550-587-588-681-811-887-910-950
10252;Üçyol Metro;38.40570052003980;27.12130049962430;16-18-19-21-84-89-92-108-124-156-490-522-556-588-681-823-950
10254;İzmir Spor;38.404520;27.119113;15-20-681
10255;Üçyol Metro;38.4059;27.1209;18-19-92-108-490-523-524-575-579-950
10257;İzmir Spor;38.4049;27.1194;15-20-520-575-681-811-950
10259;Şoförler Lokali;38.402542;27.114324;15-681-811-950
10260;Develi Mezarlık;38.20290705096820;27.17120154880020;792
10262;Şoförler Lokali;38.4024;27.1144;15-21-681-950
10263;Develi Mezarlık;38.20266559877240;27.17130829275950;792
10264;Develi Üçyol;38.20634137565370;27.170453314414;792
10265;Develi Üçyol;38.20623303818790;27.17071739200960;792
10267;Develi Cami;38.20575382605860;27.16803793018060;729-792
10268;Develi Cami;38.20597222162110;27.16809093475470;729-792
10269;Develi;38.20368821321630;27.16464845461930;729-792
10270;Hakimevleri;38.4008;27.0989;681-950
10271;Hakimevleri;38.4012;27.0988;681-811-950
10272;Susuzdede;38.3984;27.0951;681-950
10273;Susuz Dede;38.3982;27.0948;681-811-950
10274;Amerikan Koleji;38.3951;27.0922;681-950
10275;Amerikan Koleji;38.3949;27.0912;681-811-950
10276;Uğur Mumcu Parkı;38.402798;27.116099;92-108
10278;Palamutarası Giriş;38.08768159007990;27.226358736839;792
10280;Hıfzıssıhha;38.3929;27.0862;517-681-879-950
10281;Denizmen;38.393777;27.080654;517-681-811-879-950
10282;Çeşme;38.4015;27.1095;15-681-950
10283;Göztepe Stadı;38.3951;27.0761;517-681-811-879-950
10285;Hatay Çeşme;38.40170083477370;27.10939919793030;15-681-811-950
10286;Nokta;38.4014;27.1054;681-950
10287;Nokta;38.4015;27.1049;681-811-950
